,InterZone,All people,Area (hectares),simd1_pop,simd2_pop,simd3_pop,simd4_pop,simd5_pop,simdMostPop,simd1_percent,simd2_percent,simd3_percent,simd4_percent,simd5_percent
47,S02001283,2715,182,0,0,0,672,2043,5,0.0,0.0,0.0,0.24751381215469614,0.7524861878453039
48,S02001284,2913,1292,0,0,0,820,2093,5,0.0,0.0,0.0,0.28149673875729486,0.7185032612427051
49,S02001285,3114,125983,0,0,536,1392,1186,4,0.0,0.0,0.17212588310854207,0.44701348747591524,0.3808606294155427
50,S02001286,4894,46290,0,0,560,2161,2173,5,0.0,0.0,0.11442582754393134,0.44156109521863507,0.4440130772374336
51,S02001287,4188,12507,0,0,0,2484,1704,4,0.0,0.0,0.0,0.5931232091690545,0.4068767908309456
52,S02001288,3972,10127,0,0,2313,1659,0,3,0.0,0.0,0.5823262839879154,0.4176737160120846,0.0
53,S02001289,5365,15295,0,0,577,4002,786,4,0.0,0.0,0.1075489282385834,0.745945945945946,0.14650512581547065
54,S02001290,3343,22026,0,0,0,2899,444,4,0.0,0.0,0.0,0.867185163027221,0.13281483697277893
55,S02001291,5544,165,0,0,822,1804,2918,5,0.0,0.0,0.14826839826839827,0.3253968253968254,0.5263347763347763
56,S02001292,5887,158,0,0,0,1572,4315,5,0.0,0.0,0.0,0.26702904705282826,0.7329709529471717
57,S02001293,2982,84,0,0,0,1040,1942,5,0.0,0.0,0.0,0.3487592219986586,0.6512407780013414
58,S02001294,4526,117,0,0,0,551,3975,5,0.0,0.0,0.0,0.12174105170128148,0.8782589482987185
59,S02001295,4306,2725,0,0,959,1781,1566,4,0.0,0.0,0.2227124941941477,0.41360891778913145,0.36367858801672087
60,S02001296,4812,24249,0,0,0,4134,678,4,0.0,0.0,0.0,0.8591022443890274,0.14089775561097256
61,S02001297,4049,168,0,0,542,0,3507,5,0.0,0.0,0.13386021239812299,0.0,0.866139787601877
62,S02001298,3097,149,0,0,0,879,2218,5,0.0,0.0,0.0,0.2838230545689377,0.7161769454310624
63,S02001299,4041,14336,0,0,0,1079,2962,5,0.0,0.0,0.0,0.2670131155654541,0.732986884434546
64,S02001300,4140,43020,0,0,706,2736,698,4,0.0,0.0,0.17053140096618358,0.6608695652173913,0.16859903381642513
65,S02001301,5571,19847,0,0,0,2460,3111,5,0.0,0.0,0.0,0.44157242864835755,0.5584275713516424
66,S02001302,3599,114,0,0,1438,543,1618,5,0.0,0.0,0.39955543206446237,0.15087524312308975,0.4495693248124479
67,S02001303,5501,179,0,0,0,3605,1896,4,0.0,0.0,0.0,0.6553353935648064,0.3446646064351936
68,S02001304,5376,214,0,1665,693,2127,891,4,0.0,0.30970982142857145,0.12890625,0.39564732142857145,0.16573660714285715
69,S02001305,4843,13011,0,0,0,826,4017,5,0.0,0.0,0.0,0.17055544084245303,0.829444559157547
70,S02001306,5723,5793,0,0,0,1564,4159,5,0.0,0.0,0.0,0.27328324305434215,0.7267167569456578
71,S02001307,3271,1615,0,0,0,1033,2238,5,0.0,0.0,0.0,0.31580556404769183,0.6841944359523081
72,S02001308,3931,3126,0,0,0,1012,2919,5,0.0,0.0,0.0,0.25744085474433986,0.7425591452556601
73,S02001309,4163,120,0,0,0,0,4163,5,0.0,0.0,0.0,0.0,1.0
74,S02001310,3772,185,0,0,0,1082,2690,5,0.0,0.0,0.0,0.28685047720042417,0.7131495227995758
75,S02001311,4205,3725,0,0,0,2544,1661,4,0.0,0.0,0.0,0.6049940546967896,0.3950059453032105
76,S02001312,5259,5607,0,0,827,1451,2981,5,0.0,0.0,0.15725423084236548,0.2759079672941624,0.5668378018634721
77,S02001313,5849,226,0,0,722,0,5127,5,0.0,0.0,0.12343990425713797,0.0,0.876560095742862
78,S02001314,4419,160,0,0,1112,1461,1846,5,0.0,0.0,0.2516406426793392,0.33061778682959947,0.4177415704910613
79,S02001315,4307,19977,0,0,823,1998,1486,4,0.0,0.0,0.19108428140236824,0.4638959832830276,0.3450197353146041
80,S02001316,5693,14195,0,0,0,2496,3197,5,0.0,0.0,0.0,0.4384331635341648,0.5615668364658353
81,S02001317,4896,7007,0,0,0,1280,3616,5,0.0,0.0,0.0,0.26143790849673204,0.738562091503268
82,S02001318,3800,15271,0,0,1551,1467,782,3,0.0,0.0,0.4081578947368421,0.38605263157894737,0.20578947368421052
83,S02001319,4623,16503,0,0,0,3837,786,4,0.0,0.0,0.0,0.8299805321219987,0.1700194678780013
84,S02001320,4502,45758,0,0,2356,1242,904,3,0.0,0.0,0.5233229675699689,0.27587738782763216,0.20079964460239894
85,S02001321,4438,178,0,1572,2047,0,819,3,0.0,0.3542136097341145,0.4612438035150969,0.0,0.18454258675078863
86,S02001322,2806,18290,0,0,1190,592,1024,3,0.0,0.0,0.4240912330719886,0.21097647897362795,0.3649322879543835
87,S02001323,4841,166,0,0,1660,2683,498,4,0.0,0.0,0.3429043586035943,0.5542243338153274,0.10287130758107829
88,S02001324,3293,11489,0,0,1907,1386,0,3,0.0,0.0,0.5791071970847251,0.4208928029152748,0.0
89,S02001325,3829,12464,0,630,3199,0,0,3,0.0,0.16453382084095064,0.8354661791590493,0.0,0.0
90,S02001326,4082,147,0,1776,1332,974,0,2,0.0,0.4350808427241548,0.3263106320431161,0.23860852523272905,0.0
91,S02001327,4009,131,0,0,4009,0,0,3,0.0,0.0,1.0,0.0,0.0
92,S02001328,3209,15834,0,0,1542,1667,0,4,0.0,0.0,0.48052352757868494,0.519476472421315,0.0
93,S02001329,3073,17144,0,0,3073,0,0,3,0.0,0.0,1.0,0.0,0.0
94,S02001330,4592,15064,0,0,2242,2350,0,4,0.0,0.0,0.4882404181184669,0.5117595818815331,0.0
95,S02001331,2721,145,0,604,577,1540,0,4,0.0,0.22197721425946343,0.21205439176773244,0.5659683939728041,0.0
96,S02001332,2892,13608,0,0,0,2892,0,4,0.0,0.0,0.0,1.0,0.0
97,S02001333,4687,6554,0,1240,0,3447,0,4,0.0,0.26456155323234476,0.0,0.7354384467676552,0.0
98,S02001334,4526,280,0,727,1420,674,1705,5,0.0,0.1606274856385329,0.31374281926646047,0.14891736632788333,0.3767123287671233
99,S02001335,2620,76,0,1773,847,0,0,2,0.0,0.6767175572519084,0.3232824427480916,0.0,0.0
100,S02001336,6432,181,3504,2307,621,0,0,1,0.5447761194029851,0.35867537313432835,0.09654850746268656,0.0,0.0
101,S02001337,4412,158,0,624,829,1432,1527,5,0.0,0.1414324569356301,0.18789664551223934,0.32456935630099726,0.3461015412511333
102,S02001338,5864,18321,0,851,2472,1720,821,3,0.0,0.14512278308321966,0.42155525238744884,0.2933151432469304,0.14000682128240108
103,S02001339,5984,10586,0,1620,2847,1517,0,3,0.0,0.27072192513368987,0.4757687165775401,0.25350935828877,0.0
104,S02001340,4144,166,0,0,0,2127,2017,4,0.0,0.0,0.0,0.5132722007722008,0.48672779922779924
105,S02001341,2577,62,0,2577,0,0,0,2,0.0,1.0,0.0,0.0,0.0
106,S02001342,2708,60,0,533,1262,913,0,3,0.0,0.19682422451994092,0.46602658788774004,0.33714918759231904,0.0
107,S02001343,3671,129,1957,847,867,0,0,1,0.5330972487060747,0.2307273222555162,0.23617542903840916,0.0,0.0
108,S02001344,5551,9490,0,0,1417,1703,2431,5,0.0,0.0,0.25526932084309134,0.30679156908665106,0.4379391100702576
109,S02001345,5864,10234,0,0,716,3079,2069,4,0.0,0.0,0.12210095497953616,0.525068212824011,0.35283083219645295
110,S02001346,2900,97,0,0,0,1603,1297,4,0.0,0.0,0.0,0.5527586206896552,0.4472413793103448
111,S02001347,4819,145,0,0,803,1840,2176,5,0.0,0.0,0.16663208134467733,0.38182195476239883,0.45154596389292384
112,S02001348,5199,151,0,840,2698,722,939,3,0.0,0.16156953260242354,0.5189459511444509,0.13887286016541642,0.18061165608770918
113,S02001349,5524,180,0,0,0,2297,3227,5,0.0,0.0,0.0,0.41582186821144096,0.584178131788559
114,S02001350,2321,9617,0,0,821,1500,0,4,0.0,0.0,0.3537268418785006,0.6462731581214993,0.0
115,S02001351,5823,253,1051,631,911,1373,1857,5,0.1804911557616349,0.10836338657049631,0.15644856603125537,0.2357891121415078,0.3189077794951056
116,S02001352,3694,182,0,0,1082,2612,0,4,0.0,0.0,0.2929074174336762,0.7070925825663238,0.0
117,S02001353,4707,121,1453,3254,0,0,0,2,0.30868918631824943,0.6913108136817506,0.0,0.0,0.0
118,S02001354,4801,112,1221,1380,2200,0,0,3,0.25432201624661527,0.2874401166423662,0.45823786711101855,0.0,0.0
119,S02001355,4938,138,1973,1473,1492,0,0,1,0.3995544754961523,0.2982989064398542,0.3021466180639935,0.0,0.0
120,S02001356,2961,6860,0,0,1981,980,0,3,0.0,0.0,0.6690307328605201,0.3309692671394799,0.0
121,S02001357,5702,201,0,4244,0,1458,0,2,0.0,0.744300245527885,0.0,0.25569975447211507,0.0
122,S02001358,4820,160,0,943,2279,722,876,3,0.0,0.19564315352697095,0.47282157676348546,0.14979253112033195,0.1817427385892116
123,S02001359,3535,5886,0,0,806,1495,1234,4,0.0,0.0,0.22800565770862802,0.4229137199434229,0.34908062234794907
124,S02001360,3509,20346,0,0,2712,797,0,3,0.0,0.0,0.7728697634653747,0.22713023653462525,0.0
125,S02001361,3595,139,726,1451,1418,0,0,2,0.2019471488178025,0.40361613351877607,0.3944367176634214,0.0,0.0
126,S02001362,3886,161,0,774,620,915,1577,5,0.0,0.19917653113741637,0.159547092125579,0.2354606278950077,0.4058157488419969
