_id,IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
611,S02001846,Crookston South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
612,S02001847,Crookston North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
613,S02001848,Pollok South and West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
614,S02001849,Pollok North and East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
615,S02001850,Cardonald South and East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
616,S02001851,Cardonald North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
617,S02001852,Cardonald West and Central,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
618,S02001853,Penilee,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
619,S02001854,Hillington,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
620,S02001855,Drumoyne and Shieldhall,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
621,S02001856,Govan and Linthouse,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
622,S02001857,Craigton,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
623,S02001858,Mosspark,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
624,S02001859,Ibrox,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
625,S02001860,Ibrox East and Cessnock,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
626,S02001861,Kinning Park and Festival Park,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
627,S02001862,Kingston West and Dumbreck,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
628,S02001863,Pollokshields West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
629,S02001864,Pollokshields East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
630,S02001865,Govanhill West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
631,S02001866,Govanhill East and Aikenhead,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
632,S02001867,Battlefield,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
633,S02001868,Strathbungo,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
634,S02001869,Maxwell Park,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
635,S02001870,Shawlands West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
636,S02001871,Shawlands East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
637,S02001872,Langside,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
638,S02001873,Pollokshaws,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
639,S02001874,Carnwadric West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
640,S02001875,Carnwadric East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
641,S02001876,Newlands,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
642,S02001877,Merrylee and Millbrae,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
643,S02001878,Muirend and Old Cathcart,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
644,S02001879,Carmunnock North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
645,S02001880,Carmunnock South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
646,S02001881,Glenwood South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
647,S02001882,Glenwood North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
648,S02001883,Castlemilk,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
649,S02001884,Kingspark South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
650,S02001885,Kingspark North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
651,S02001886,Cathcart,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
652,S02001887,Mount Florida,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
653,S02001888,Toryglen and Oatlands,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
654,S02001889,Gorbals and Hutchesontown,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
655,S02001890,Laurieston and Tradeston,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
656,S02001891,Calton and Gallowgate,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
657,S02001892,Bridgeton,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
658,S02001893,Dalmarnock,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
659,S02001894,Parkhead West and Barrowfield,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
660,S02001895,Parkhead East and Braidfauld North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
661,S02001896,Braidfauld,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
662,S02001897,Shettleston South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
663,S02001898,Carmyle and Mount Vernon South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
664,S02001899,Mount Vernon North and Sandyhills,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
665,S02001900,Baillieston West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
666,S02001901,Baillieston East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
667,S02001902,Garrowhill West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
668,S02001903,Garrowhill East and Swinton,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
669,S02001904,Easterhouse East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
670,S02001905,Central Easterhouse,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
671,S02001906,"Garthamlock, Auchinlea and Gartloch",S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
672,S02001907,North Barlanark and Easterhouse South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
673,S02001908,Barlanark,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
674,S02001909,Greenfield,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
675,S02001910,Shettleston North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
676,S02001911,Tollcross,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
677,S02001912,Old Shettleston and Parkhead North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
678,S02001913,Carntyne,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
679,S02001914,"Cranhill, Lightburn and Queenslie South",S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
680,S02001915,Craigend and Ruchazie,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
681,S02001916,Riddrie and Hogganfield,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
682,S02001917,Blackhill and Barmulloch East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
683,S02001918,Robroyston and Millerston,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
684,S02001919,Balornock,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
685,S02001920,Barmulloch,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
686,S02001921,Petershill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
687,S02001922,Springburn,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
688,S02001923,Springburn East and Cowlairs,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
689,S02001924,Cowlairs and Port Dundas,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
690,S02001925,Sighthill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
691,S02001926,"Roystonhill, Blochairn, and Provanmill",S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
692,S02001927,Dennistoun North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
693,S02001928,Alexandra Parade,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
694,S02001929,Carntyne West and Haghill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
695,S02001930,Dennistoun,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
696,S02001931,Gallowgate North and Bellgrove,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
697,S02001932,City Centre East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
698,S02001933,City Centre West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
699,S02001934,City Centre South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
700,S02001935,Anderston,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
701,S02001936,Finnieston and Kelvinhaugh,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
702,S02001937,Woodlands,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
703,S02001938,Woodside,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
704,S02001939,Firhill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
705,S02001940,Keppochhill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
706,S02001941,Ruchill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
707,S02001942,Possil Park,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
708,S02001943,Milton West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
709,S02001944,Milton East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
710,S02001945,Summerston Central and West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
711,S02001946,Summerston North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
712,S02001947,Maryhill East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
713,S02001948,Maryhill West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
714,S02001949,Wyndford,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
715,S02001950,Kelvindale,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
716,S02001951,North Kelvin,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
717,S02001952,Kelvingrove and University,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
718,S02001953,Hillhead,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
719,S02001954,Glasgow Harbour and Partick South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
720,S02001955,Partick,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
721,S02001956,Partickhill and Hyndland,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
722,S02001957,Dowanhill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
723,S02001958,Kelvinside and Jordanhill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
724,S02001959,Broomhill,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
725,S02001960,Victoria Park,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
726,S02001961,Whiteinch,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
727,S02001962,Scotstoun North and East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
728,S02001963,Scotstoun South and West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
729,S02001964,Yoker South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
730,S02001965,Yoker North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
731,S02001966,Knightswood West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
732,S02001967,Knightswood East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
733,S02001968,Knightswood Park West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
734,S02001969,Knightswood Park East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
735,S02001970,Anniesland East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
736,S02001971,Anniesland West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
737,S02001972,Blairdardie East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
738,S02001973,Blairdardie West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
739,S02001974,Drumchapel South,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
740,S02001975,Drumchapel North,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
741,S02001976,Drumry East,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
742,S02001977,Drumry West,S12000049,Glasgow City,S37000034,Glasgow City,S08000031,NHS Greater Glasgow and Clyde,S92000003
743,S02001978,Lochaber West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
744,S02001979,Fort William North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
745,S02001980,Fort William South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
746,S02001981,Lochaber East and North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
747,S02001982,Badenoch and Strathspey South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
748,S02001983,Badenoch and Strathspey Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
749,S02001984,Badenoch and Strathspey North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
750,S02001985,Nairn Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
751,S02001986,Nairn East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
752,S02001987,Nairn West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
753,S02001988,Inverness East Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
754,S02001989,Inverness Culloden and Balloch,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
755,S02001990,Inverness Smithton,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
756,S02001991,Inverness Westhill,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
757,S02001992,Inverness Inshes,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
758,S02001993,Inverness Slackbuie,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
759,S02001994,Inverness Lochardil and Holm Mains,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
760,S02001995,Inverness Drummond,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
761,S02001996,Inverness Hilton,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
762,S02001997,Inverness Drakies,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
763,S02001998,"Inverness Central, Raigmore and Longman",S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
764,S02001999,Inverness Crown and Haugh,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
765,S02002000,Inverness Ballifeary and Dalneigh,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
766,S02002001,Inverness Muirtown,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
767,S02002002,Inverness Merkinch,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
768,S02002003,Inverness Scorguie,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
769,S02002004,Inverness Kinmylies and South West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
770,S02002005,Inverness West Rural,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
771,S02002006,Loch Ness,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
772,S02002007,Lochalsh,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
773,S02002008,Skye South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
774,S02002009,Skye North East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
775,S02002010,Skye North West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
776,S02002011,Ross and Cromarty South West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
777,S02002012,Ross and Cromarty North West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
778,S02002013,Ross and Cromarty Central,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
779,S02002014,Ross and Cromarty East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
780,S02002015,Muir of Ord,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
781,S02002016,Conon,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
782,S02002017,Dingwall,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
783,S02002018,Black Isle South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
784,S02002019,Black Isle North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
785,S02002020,Alness,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
786,S02002021,Invergordon,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
787,S02002022,Seaboard,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
788,S02002023,Tain,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
789,S02002024,Sutherland South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
790,S02002025,Sutherland East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
791,S02002026,Caithness South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
792,S02002027,Wick South,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
793,S02002028,Wick North,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
794,S02002029,Caithness North East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
795,S02002030,Caithness North West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
796,S02002031,Thurso East,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
797,S02002032,Thurso West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
798,S02002033,Sutherland North and West,S12000017,Highland,S37000016,Highland,S08000022,NHS Highland,S92000003
799,S02002034,Kilmacolm Central,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
800,S02002035,"Kilmacolm, Quarriers, Greenock Upper East/Central",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
801,S02002036,Inverkip and Wemyss Bay,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
802,S02002037,"West Braeside, East Inverkip and West Gourock",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
803,S02002038,Gourock Upper and West Central and Upper Larkfield,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
804,S02002039,"Gourock Central, Upper East and IRH",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
805,S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
806,S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
807,S02002042,"Gourock East, Greenock West and Lyle Road",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
808,S02002043,Greenock West and Central,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
809,S02002044,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
810,S02002045,Greenock Upper Central,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
811,S02002046,Greenock Town Centre and East Central,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
812,S02002047,Greenock East,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
813,S02002048,"Port Glasgow Upper, West and Central",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
814,S02002049,"Port Glasgow Mid, East and Central",S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
815,S02002050,Port Glasgow Upper East,S12000018,Inverclyde,S37000017,Inverclyde,S08000031,NHS Greater Glasgow and Clyde,S92000003
816,S02002051,Rural South Midlothian,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
817,S02002052,Penicuik Southeast,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
818,S02002053,Penicuik Southwest,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
819,S02002054,Penicuik East,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
820,S02002055,Penicuik North,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
821,S02002056,Pentland,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
822,S02002057,Roslin and Bilston,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
823,S02002058,Straiton,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
824,S02002059,Loanhead,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
825,S02002060,Bonnyrigg South,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
826,S02002061,Bonnyrigg North,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
827,S02002062,Newbattle and Dalhousie,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
828,S02002063,Eskbank,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
829,S02002064,Shawfair,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
830,S02002065,Thornybank,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
831,S02002066,Dalkeith,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
832,S02002067,Pathhead and Rural East Midlothian,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
833,S02002068,Easthouses,S12000019,Midlothian,S37000018,Midlothian,S08000024,NHS Lothian,S92000003
