DataZone,InterZone,MMWard,Council,SPConst,CHP,HBCode
S01006534,S02001240,S13002486,S12000033,S16000074,S03000012,S08000020
S01006535,S02001240,S13002486,S12000033,S16000074,S03000012,S08000020
S01006536,S02001240,S13002486,S12000033,S16000074,S03000012,S08000020
S01006537,S02001241,S13002486,S12000033,S16000076,S03000012,S08000020
S01006538,S02001241,S13002486,S12000033,S16000076,S03000012,S08000020
S01006539,S02001241,S13002486,S12000033,S16000076,S03000012,S08000020
S01006540,S02001241,S13002486,S12000033,S16000076,S03000012,S08000020
S01006541,S02001241,S13002486,S12000033,S16000076,S03000012,S08000020
S01006542,S02001242,S13002485,S12000033,S16000076,S03000012,S08000020
S01006543,S02001242,S13002486,S12000033,S16000076,S03000012,S08000020
S01006544,S02001242,S13002485,S12000033,S16000076,S03000012,S08000020
S01006545,S02001242,S13002486,S12000033,S16000076,S03000012,S08000020
S01006546,S02001242,S13002485,S12000033,S16000076,S03000012,S08000020
S01006547,S02001243,S13002485,S12000033,S16000076,S03000012,S08000020
S01006548,S02001243,S13002485,S12000033,S16000076,S03000012,S08000020
S01006549,S02001243,S13002485,S12000033,S16000076,S03000012,S08000020
S01006550,S02001243,S13002485,S12000033,S16000076,S03000012,S08000020
S01006551,S02001243,S13002485,S12000033,S16000076,S03000012,S08000020
S01006552,S02001243,S13002485,S12000033,S16000076,S03000012,S08000020
S01006553,S02001244,S13002485,S12000033,S16000076,S03000012,S08000020
S01006554,S02001244,S13002478,S12000033,S16000075,S03000012,S08000020
S01006555,S02001244,S13002478,S12000033,S16000075,S03000012,S08000020
S01006556,S02001244,S13002478,S12000033,S16000075,S03000012,S08000020
S01006557,S02001244,S13002478,S12000033,S16000075,S03000012,S08000020
S01006558,S02001245,S13002482,S12000033,S16000074,S03000012,S08000020
S01006559,S02001245,S13002485,S12000033,S16000074,S03000012,S08000020
S01006560,S02001245,S13002482,S12000033,S16000074,S03000012,S08000020
S01006561,S02001245,S13002482,S12000033,S16000074,S03000012,S08000020
S01006562,S02001245,S13002482,S12000033,S16000074,S03000012,S08000020
S01006563,S02001245,S13002482,S12000033,S16000074,S03000012,S08000020
S01006564,S02001246,S13002482,S12000033,S16000074,S03000012,S08000020
S01006565,S02001246,S13002482,S12000033,S16000074,S03000012,S08000020
S01006566,S02001246,S13002482,S12000033,S16000074,S03000012,S08000020
S01006567,S02001246,S13002482,S12000033,S16000074,S03000012,S08000020
S01006568,S02001246,S13002482,S12000033,S16000074,S03000012,S08000020
S01006569,S02001246,S13002482,S12000033,S16000074,S03000012,S08000020
S01006570,S02001246,S13002485,S12000033,S16000074,S03000012,S08000020
S01006571,S02001247,S13002485,S12000033,S16000074,S03000012,S08000020
S01006572,S02001247,S13002485,S12000033,S16000074,S03000012,S08000020
S01006573,S02001247,S13002485,S12000033,S16000074,S03000012,S08000020
S01006574,S02001247,S13002485,S12000033,S16000074,S03000012,S08000020
S01006575,S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
S01006576,S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
S01006577,S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
S01006578,S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
