,InterZone,All people,Area (hectares),Density
767,S02002003,3143,113,27.81415929
768,S02002004,3255,1356,2.400442478
769,S02002005,6307,91558,0.068885297
770,S02002006,4524,113878,0.039726725
771,S02002007,2709,92147,0.029398678
772,S02002008,3410,78864,0.043238994
773,S02002009,3445,32233,0.106878044
774,S02002010,3322,64033,0.0518795
775,S02002011,3008,136081,0.022104482
776,S02002012,3226,122475,0.026340069
777,S02002013,3649,135072,0.027015222
778,S02002014,3278,48796,0.067177638
779,S02002015,3305,3818,0.865636459
780,S02002016,3524,2853,1.235191027
781,S02002017,5429,371,14.63342318
782,S02002018,6314,12257,0.515134209
783,S02002019,3640,13381,0.272027502
784,S02002020,5957,810,7.354320988
785,S02002021,4309,1291,3.337722696
786,S02002022,4459,15017,0.296930146
787,S02002023,3807,2112,1.802556818
788,S02002024,6068,219368,0.027661281
789,S02002025,4290,63800,0.067241379
790,S02002026,2911,59759,0.048712328
791,S02002027,3667,167,21.95808383
792,S02002028,3287,217,15.14746544
793,S02002029,3773,40217,0.093816048
794,S02002030,5086,79565,0.063922579
795,S02002031,2900,98,29.59183673
796,S02002032,4862,241,20.17427386
797,S02002033,3486,320695,0.010870141
798,S02002034,2553,130,19.63846154
799,S02002035,3204,11296,0.283640227
800,S02002036,5766,1479,3.898580122
801,S02002037,3193,1237,2.581244947
802,S02002038,4267,98,43.54081633
803,S02002039,4243,155,27.37419355
804,S02002040,6389,164,38.95731707
805,S02002041,5024,108,46.51851852
806,S02002042,5084,235,21.63404255
807,S02002043,5921,134,44.18656716
808,S02002044,4616,112,41.21428571
809,S02002045,4242,71,59.74647887
810,S02002046,5150,161,31.98757764
811,S02002047,6225,203,30.66502463
812,S02002048,5603,165,33.95757576
813,S02002049,4900,211,23.22274882
814,S02002050,5105,87,58.67816092
815,S02002051,2649,16058,0.164964504
816,S02002052,3914,104,37.63461538
817,S02002053,3959,80,49.4875
818,S02002054,2569,60,42.81666667
819,S02002055,3568,88,40.54545455
820,S02002056,2323,3362,0.690957763
821,S02002057,3310,669,4.947683109
822,S02002058,2519,464,5.42887931
823,S02002059,3668,124,29.58064516
824,S02002060,4862,106,45.86792453
825,S02002061,5692,169,33.68047337
826,S02002062,5913,986,5.996957404
827,S02002063,4581,459,9.980392157
828,S02002064,3513,1553,2.262073406
829,S02002065,3637,653,5.569678407
830,S02002066,2861,53,53.98113208
831,S02002067,5287,9890,0.534580384
832,S02002068,3057,79,38.69620253
833,S02002069,4725,87,54.31034483
834,S02002070,4126,138,29.89855072
835,S02002071,2630,104,25.28846154
836,S02002072,3824,85,44.98823529
837,S02002073,4328,79561,0.054398512
838,S02002074,3792,20204,0.187685607
839,S02002075,3119,29481,0.105796954
840,S02002076,4734,230,20.5826087
841,S02002077,5406,9441,0.572608834
842,S02002078,3543,651,5.442396313
843,S02002079,4534,238,19.05042017
844,S02002080,3675,4461,0.823806321
845,S02002081,2355,8414,0.279890658
846,S02002082,3030,14342,0.211267606
847,S02002083,3324,6048,0.549603175
848,S02002084,4333,226,19.17256637
849,S02002085,3871,108,35.84259259
850,S02002086,4079,133,30.66917293
851,S02002087,3235,220,14.70454545
852,S02002088,3441,111,31
853,S02002089,3376,95,35.53684211
854,S02002090,3474,100,34.74
855,S02002091,4231,113,37.44247788
856,S02002092,5418,5635,0.961490683
857,S02002093,3410,8821,0.386577486
858,S02002094,3721,1166,3.191252144
859,S02002095,5422,210,25.81904762
860,S02002096,3444,33753,0.102035375
861,S02002097,4660,43133,0.108037929
862,S02002098,2626,4841,0.542449907
863,S02002099,2984,439,6.797266515
864,S02002100,3619,105,34.46666667
865,S02002101,2908,76,38.26315789
866,S02002102,2398,50,47.96
867,S02002103,4312,175,24.64
868,S02002104,5182,174,29.7816092
869,S02002105,3627,161,22.52795031
870,S02002106,3170,50,63.4
871,S02002107,3086,65,47.47692308
872,S02002108,3177,123,25.82926829
873,S02002109,3034,245,12.38367347
874,S02002110,2349,1473,1.594704684
875,S02002111,3863,105,36.79047619
876,S02002112,3170,128,24.765625
877,S02002113,3130,104,30.09615385
878,S02002114,4589,80,57.3625
879,S02002115,3742,118,31.71186441
880,S02002116,5159,93,55.47311828
881,S02002117,2975,104,28.60576923
882,S02002118,4206,90,46.73333333
883,S02002119,5304,116,45.72413793
884,S02002120,3013,87,34.63218391
885,S02002121,4348,177,24.56497175
886,S02002122,3846,119,32.31932773
887,S02002123,2999,3866,0.775737196
888,S02002124,3152,97,32.49484536
889,S02002125,2328,8055,0.289013035
890,S02002126,4783,182,26.28021978
891,S02002127,3776,126,29.96825397
892,S02002128,4894,1492,3.280160858
893,S02002129,4046,160,25.2875
894,S02002130,2942,17122,0.171825721
895,S02002131,3359,124,27.08870968
896,S02002132,4224,169,24.99408284
897,S02002133,3209,217,14.78801843
898,S02002134,3957,4491,0.881095524
899,S02002135,3984,1025,3.886829268
900,S02002136,3537,96,36.84375
901,S02002137,4057,70,57.95714286
902,S02002138,6064,194,31.25773196
903,S02002139,4390,150,29.26666667
904,S02002140,3984,108,36.88888889
905,S02002141,5080,108,47.03703704
906,S02002142,6110,170,35.94117647
907,S02002143,3832,86,44.55813953
908,S02002144,2885,53,54.43396226
909,S02002145,5745,204,28.16176471
910,S02002146,3399,4846,0.701403219
911,S02002147,4481,120,37.34166667
912,S02002148,2920,105,27.80952381
913,S02002149,5392,7742,0.696460863
914,S02002150,3756,1191,3.153652393
915,S02002151,3223,186,17.32795699
916,S02002152,3898,100,38.98
917,S02002153,3045,121,25.16528926
918,S02002154,5122,109,46.99082569
919,S02002155,3818,170,22.45882353
920,S02002156,4211,153,27.52287582
921,S02002157,4068,91,44.7032967
922,S02002158,3153,67,47.05970149
923,S02002159,5037,626,8.046325879
924,S02002160,5254,517,10.16247582
925,S02002161,5031,208,24.1875
926,S02002162,5314,104,51.09615385
927,S02002163,4866,108,45.05555556
928,S02002164,2697,233,11.5751073
929,S02002165,3550,127,27.95275591
930,S02002166,4900,428,11.44859813
931,S02002167,5711,377,15.14854111
932,S02002168,4868,513,9.489278752
933,S02002169,6328,152,41.63157895
934,S02002170,6056,136,44.52941176
935,S02002171,6230,116,53.70689655
936,S02002172,2636,58,45.44827586
937,S02002173,4052,90,45.02222222
938,S02002174,4818,111,43.40540541
939,S02002175,4064,148,27.45945946
940,S02002176,3193,128,24.9453125
941,S02002177,2939,141,20.84397163
942,S02002178,5640,177,31.86440678
943,S02002179,2538,235,10.8
944,S02002180,2544,55,46.25454545
945,S02002181,3952,114,34.66666667
946,S02002182,3797,87,43.64367816
947,S02002183,4005,121,33.09917355
948,S02002184,3153,74,42.60810811
949,S02002185,4684,162,28.91358025
950,S02002186,5485,157,34.93630573
951,S02002187,5495,115,47.7826087
952,S02002188,5547,136,40.78676471
953,S02002189,4134,118,35.03389831
954,S02002190,5714,4407,1.296573633
955,S02002191,4602,4309,1.067997215
956,S02002192,5621,2916,1.927640604
957,S02002193,4410,159,27.73584906
958,S02002194,2380,1279,1.860828772
959,S02002195,4166,144,28.93055556
960,S02002196,3665,124,29.55645161
961,S02002197,3626,286,12.67832168
962,S02002198,6234,401,15.54613466
963,S02002199,4985,123,40.52845528
964,S02002200,4039,1898,2.128029505
965,S02002201,3497,69,50.68115942
966,S02002202,4738,125,37.904
967,S02002203,4310,105,41.04761905
968,S02002204,4120,90,45.77777778
969,S02002205,4410,81,54.44444444
970,S02002206,3546,420,8.442857143
971,S02002207,5126,243,21.09465021
972,S02002208,3595,103,34.90291262
973,S02002209,2924,101,28.95049505
974,S02002210,6120,4206,1.455064194
975,S02002211,3308,86,38.46511628
976,S02002212,3919,2179,1.798531436
977,S02002213,3146,9661,0.325639168
978,S02002214,4009,26399,0.151861813
979,S02002215,3663,13599,0.269358041
980,S02002216,3851,158,24.37341772
981,S02002217,2500,102,24.50980392
982,S02002218,4180,49061,0.085200057
983,S02002219,3630,11513,0.315295753
984,S02002220,4698,192,24.46875
985,S02002221,3500,13876,0.252234073
986,S02002222,3562,24104,0.147776303
987,S02002223,4069,184,22.11413043
988,S02002224,3788,43641,0.086799111
989,S02002225,3234,172,18.80232558
990,S02002226,4134,166,24.90361446
991,S02002227,4144,15860,0.261286255
992,S02002228,3982,17089,0.23301539
993,S02002229,4933,7571,0.651565183
994,S02002230,4366,187,23.34759358
995,S02002231,5780,188,30.74468085
996,S02002232,4277,182,23.5
997,S02002233,4205,167,25.17964072
998,S02002234,5808,101,57.5049505
999,S02002235,5810,271,21.43911439
1000,S02002236,3303,943,3.502651113
1001,S02002237,3001,90,33.34444444
1002,S02002238,2256,85,26.54117647
1003,S02002239,4584,91,50.37362637
1004,S02002240,3724,491,7.584521385
1005,S02002241,4998,1052,4.75095057
1006,S02002242,3894,12023,0.323879231
1007,S02002243,3729,5041,0.73973418
1008,S02002244,3790,5345,0.709073901
1009,S02002245,5145,11740,0.438245315
1010,S02002246,3054,7873,0.38790804
1011,S02002247,4034,106059,0.038035433
1012,S02002248,3010,179,16.81564246
1013,S02002249,5533,285,19.41403509
1014,S02002250,4516,9649,0.468027775
1015,S02002251,5639,27529,0.204838534
1016,S02002252,3716,10203,0.364206606
1017,S02002253,4806,194416,0.024720188
1018,S02002254,2769,82,33.76829268
1019,S02002255,3768,9329,0.403901812
1020,S02002256,3722,10487,0.35491561
1021,S02002257,3394,95,35.72631579
1022,S02002258,5411,153,35.36601307
1023,S02002259,3573,96,37.21875
1024,S02002260,3877,197,19.68020305
1025,S02002261,4260,92,46.30434783
1026,S02002262,5060,277,18.26714801
1027,S02002263,4227,159,26.58490566
1028,S02002264,3579,90,39.76666667
1029,S02002265,5615,118,47.58474576
1030,S02002266,4998,124,40.30645161
1031,S02002267,4850,157,30.89171975
1032,S02002268,4184,78,53.64102564
1033,S02002269,3470,83,41.80722892
1034,S02002270,3843,142,27.06338028
1035,S02002271,5791,137,42.27007299
1036,S02002272,3476,95,36.58947368
1037,S02002273,4111,166,24.76506024
1038,S02002274,6584,149,44.18791946
1039,S02002275,5930,208,28.50961538
1040,S02002276,4904,126,38.92063492
1041,S02002277,5625,124,45.36290323
1042,S02002278,4603,565,8.146902655
1043,S02002279,6750,204,33.08823529
1044,S02002280,5128,112,45.78571429
1045,S02002281,5626,127,44.2992126
1046,S02002282,4350,602,7.225913621
1047,S02002283,5893,154,38.26623377
1048,S02002284,5176,166,31.18072289
1049,S02002285,5820,136,42.79411765
1050,S02002286,4708,136,34.61764706
1051,S02002287,3939,111,35.48648649
1052,S02002288,4652,114,40.80701754
1053,S02002289,3294,92,35.80434783
1054,S02002290,3102,116,26.74137931
1055,S02002291,4846,793,6.110970996
1056,S02002292,5615,70484,0.07966347
1057,S02002293,4331,174,24.8908046
1058,S02002294,4045,188,21.51595745
1059,S02002295,5411,22869,0.236608509
1060,S02002296,4844,34415,0.140752579
1061,S02002297,3730,147,25.37414966
1062,S02002298,3130,71,44.08450704
1063,S02002299,3309,889,3.72215973
1064,S02002300,2798,85,32.91764706
1065,S02002301,5266,572,9.206293706
1066,S02002302,2909,24772,0.11743097
1067,S02002303,4067,46093,0.088234656
1068,S02002304,2753,183,15.04371585
1069,S02002305,3758,20083,0.187123438
1070,S02002306,3546,122,29.06557377
1071,S02002307,4079,17660,0.230973952
1072,S02002308,2752,7136,0.385650224
1073,S02002309,4578,34151,0.134051712
1074,S02002310,3308,83,39.85542169
1075,S02002311,2331,111,21
1076,S02002312,2855,34032,0.083891631
1077,S02002313,3604,7033,0.512441348
1078,S02002314,4030,154,26.16883117
1079,S02002315,3923,84792,0.046266157
1080,S02002316,3068,121,25.3553719
1081,S02002317,4333,132,32.82575758
1082,S02002318,3372,204,16.52941176
1083,S02002319,3580,112,31.96428571
1084,S02002320,2761,66068,0.041790277
1085,S02002321,5784,240,24.1
1086,S02002322,3291,13991,0.235222643
1087,S02002323,3475,1962,1.771151886
1088,S02002324,4965,3426,1.449211909
1089,S02002325,3195,11410,0.280017528
1090,S02002326,2789,39906,0.06988924
1091,S02002327,2658,35637,0.074585403
1092,S02002328,2794,40333,0.0692733
1093,S02002329,5501,75552,0.072810779
1094,S02002330,3405,58,58.70689655
1095,S02002331,3246,133,24.40601504
1096,S02002332,4846,961,5.042663892
1097,S02002333,4001,23211,0.172375167
1098,S02002334,3709,4935,0.751570415
1099,S02002335,6075,650,9.346153846
1100,S02002336,4487,105,42.73333333
1101,S02002337,5553,197,28.18781726
1102,S02002338,5041,158,31.90506329
1103,S02002339,5359,192,27.91145833
1104,S02002340,4757,135,35.23703704
1105,S02002341,2627,118,22.26271186
1106,S02002342,2884,80,36.05
1107,S02002343,4211,95,44.32631579
1108,S02002344,4247,120,35.39166667
1109,S02002345,4353,177,24.59322034
1110,S02002346,4145,169,24.52662722
1111,S02002347,5417,136,39.83088235
1112,S02002348,2710,2604,1.040706605
1113,S02002349,5962,6731,0.885752488
1114,S02002350,5341,4765,1.120881427
1115,S02002351,5472,194,28.20618557
1116,S02002352,4046,127,31.85826772
1117,S02002353,5404,595,9.082352941
1118,S02002354,2623,62006,0.042302358
1119,S02002355,5552,21813,0.254527117
1120,S02002356,4872,7549,0.645383495
1121,S02002357,3756,9919,0.378667204
1122,S02002358,3737,2256,1.656471631
1123,S02002359,2910,76,38.28947368
1124,S02002360,2417,80,30.2125
1125,S02002361,4103,110,37.3
1126,S02002362,3260,90,36.22222222
1127,S02002363,2576,4547,0.566527381
1128,S02002364,2602,91,28.59340659
1129,S02002365,2366,46,51.43478261
1130,S02002366,3779,886,4.26523702
1131,S02002367,3788,8404,0.450737744
1132,S02002368,4613,5736,0.804218968
1133,S02002369,3780,126,30
1134,S02002370,4242,114,37.21052632
1135,S02002371,2784,2707,1.028444773
1136,S02002372,3367,91,37
1137,S02002373,3823,397,9.629722922
1138,S02002374,4126,130,31.73846154
1139,S02002375,3583,134,26.73880597
1140,S02002376,5713,1896,3.013185654
1141,S02002377,4649,419,11.09546539
1142,S02002378,2901,103,28.16504854
1143,S02002379,2948,27110,0.108742162
1144,S02002380,3018,4957,0.60883599
1145,S02002381,3743,73,51.2739726
1146,S02002382,2751,73,37.68493151
1147,S02002383,2878,70,41.11428571
1148,S02002384,4060,211,19.24170616
1149,S02002385,3683,80,46.0375
1150,S02002386,2163,54,40.05555556
1151,S02002387,2868,52,55.15384615
1152,S02002388,6305,1049,6.010486177
1153,S02002389,3976,83,47.90361446
1154,S02002390,4141,75,55.21333333
1155,S02002391,3955,219,18.05936073
1156,S02002392,4358,91,47.89010989
1157,S02002393,3388,79,42.88607595
1158,S02002394,3082,94,32.78723404
1159,S02002395,4896,195,25.10769231
1160,S02002396,4687,100,46.87
1161,S02002397,3641,106,34.3490566
1162,S02002398,3886,229,16.96943231
1163,S02002399,3430,414,8.285024155
1164,S02002400,3085,74,41.68918919
1165,S02002401,5482,291,18.83848797
1166,S02002402,5459,731,7.467852257
1167,S02002403,6002,238,25.21848739
1168,S02002404,4132,101,40.91089109
1169,S02002405,4881,112,43.58035714
1170,S02002406,3834,115,33.33913043
1171,S02002407,5876,124,47.38709677
1172,S02002408,3236,289,11.19723183
1173,S02002409,3738,154,24.27272727
1174,S02002410,3348,61,54.8852459
1175,S02002411,3257,56,58.16071429
1176,S02002412,2878,64,44.96875
1177,S02002413,3412,100,34.12
1178,S02002414,4540,106,42.83018868
1179,S02002415,3993,97,41.16494845
1180,S02002416,4611,6368,0.724089196
1181,S02002417,3686,71,51.91549296
1182,S02002418,3946,89,44.33707865
1183,S02002419,4191,115,36.44347826
1184,S02002420,4608,124,37.16129032
1185,S02002421,4716,133,35.45864662
1186,S02002422,3061,83,36.87951807
1187,S02002423,3013,98,30.74489796
1188,S02002424,2829,81,34.92592593
1189,S02002425,4127,388,10.63659794
1190,S02002426,3767,784,4.804846939
1191,S02002427,3738,115,32.50434783
1192,S02002428,2846,108,26.35185185
1193,S02002429,4793,110,43.57272727
1194,S02002430,4021,122,32.95901639
1195,S02002431,3336,68,49.05882353
1196,S02002432,4392,84,52.28571429
1197,S02002433,3324,70,47.48571429
1198,S02002434,3784,77,49.14285714
1199,S02002435,4109,250,16.436
1200,S02002436,5281,13222,0.399410074
1201,S02002437,4060,9856,0.411931818
1202,S02002438,3169,17551,0.180559512
1203,S02002439,3642,6310,0.577179081
1204,S02002440,3029,7578,0.399709686
1205,S02002441,2649,117,22.64102564
1206,S02002442,2832,69,41.04347826
1207,S02002443,3494,91,38.3956044
1208,S02002444,3550,86,41.27906977
1209,S02002445,5541,155,35.7483871
1210,S02002446,3751,211,17.77725118
1211,S02002447,3784,161,23.50310559
1212,S02002448,2458,366,6.715846995
1213,S02002449,3938,52,75.73076923
1214,S02002450,2895,137,21.13138686
1215,S02002451,3397,119,28.54621849
1216,S02002452,2344,83,28.24096386
1217,S02002453,7147,1277,5.596711042
1218,S02002454,2650,2004,1.322355289
1219,S02002455,5089,6868,0.740972627
1220,S02002456,4344,129,33.6744186
1221,S02002457,4218,26096,0.161633967
1222,S02002458,3666,22261,0.164682629
1223,S02002459,3319,103891,0.031946944
1224,S02002460,4485,108,41.52777778
1225,S02002461,4641,290,16.00344828
1226,S02002462,5682,130,43.70769231
1227,S02002463,4416,94,46.9787234
1228,S02002464,3722,141,26.39716312
1229,S02002465,5535,225,24.6
1230,S02002466,4567,2280,2.003070175
1231,S02002467,5575,163,34.20245399
1232,S02002468,5281,215,24.5627907
1233,S02002469,4237,4345,0.975143843
1234,S02002470,5188,102,50.8627451
1235,S02002471,6221,349,17.8252149
1236,S02002472,5715,235,24.31914894
1237,S02002473,5117,1696,3.017099057
1238,S02002474,5798,1698,3.414605418
1239,S02002475,3966,133,29.81954887
1240,S02002476,6145,226,27.19026549
1241,S02002477,4429,3450,1.283768116
1242,S02002478,4843,135,35.87407407
1243,S02002479,5021,7417,0.676958339
1244,S02002480,5505,185,29.75675676
1245,S02002481,4686,1008,4.648809524
1246,S02002482,5273,267,19.74906367
1247,S02002483,5525,192,28.77604167
1248,S02002484,5815,7581,0.767049202
1249,S02002485,4999,717,6.972105997
1250,S02002486,2671,1233,2.166261152
1251,S02002487,5738,172,33.36046512
1252,S02002488,4493,189,23.77248677
1253,S02002489,5201,159,32.71069182
1254,S02002490,4939,118,41.8559322
1255,S02002491,5673,140,40.52142857
1256,S02002492,3825,417,9.172661871
1257,S02002493,2881,71,40.57746479
1258,S02002494,5848,1215,4.813168724
1259,S02002495,2134,221,9.656108597
1260,S02002496,4743,435,10.90344828
1261,S02002497,6107,1349,4.527057079
1262,S02002498,4918,144,34.15277778
1263,S02002499,2994,2335,1.282226981
1264,S02002500,5794,483,11.99585921
1265,S02002501,6135,148,41.4527027
1266,S02002502,3983,1011,3.939663699
1267,S02002503,4221,99,42.63636364
1268,S02002504,6330,199,31.80904523
1269,S02002505,6062,581,10.43373494
1270,S02002506,3531,3271,1.079486396
1271,S02002507,5996,4290,1.397668998
1272,S02002508,4423,145,30.50344828
1273,S02002509,3676,497,7.39637827
1274,S02002510,4477,3434,1.303727432
1275,S02002511,4204,498,8.441767068
1276,S02002512,5873,1755,3.346438746
1277,S02002513,3813,78,48.88461538
1278,S02002514,2768,561,4.934046346
