,InterZone,All people,Area (hectares),Density
173,S02001409,2127,12607,0.168715793
174,S02001410,2676,63303,0.042272878
175,S02001411,5127,30148,0.170061032
176,S02001412,5507,46896,0.117430058
177,S02001413,3465,37702,0.091904939
178,S02001414,5302,20457,0.259177788
179,S02001415,4933,6999,0.704814974
180,S02001416,4227,181,23.35359116
181,S02001417,2431,19658,0.123664666
182,S02001418,3664,81360,0.045034415
183,S02001419,4810,27398,0.17556026
184,S02001420,4154,44677,0.09297849
185,S02001421,4525,34697,0.130414733
186,S02001422,3083,8144,0.378560904
187,S02001423,5991,154,38.9025974
188,S02001424,4923,212,23.22169811
189,S02001425,3531,96,36.78125
190,S02001426,3545,13118,0.270239366
191,S02001427,3246,7619,0.426040163
192,S02001428,2950,84,35.11904762
193,S02001429,2888,66,43.75757576
194,S02001430,3393,130,26.1
195,S02001431,3436,136,25.26470588
196,S02001432,3022,97,31.15463918
197,S02001433,3009,195,15.43076923
198,S02001434,2776,6182,0.449045616
199,S02001435,3143,6029,0.521313651
200,S02001436,5011,10590,0.473182247
201,S02001437,3962,31408,0.126146205
202,S02001438,3914,48283,0.081063728
203,S02001439,3970,36213,0.109629139
204,S02001440,2613,14645,0.17842267
205,S02001441,3262,123,26.5203252
206,S02001442,5658,3673,1.540430166
207,S02001443,2998,1556,1.926735219
208,S02001444,4160,4150,1.002409639
209,S02001445,5863,344,17.04360465
210,S02001446,7417,133,55.76691729
211,S02001447,5602,78,71.82051282
212,S02001448,4781,102,46.87254902
213,S02001449,5126,115,44.57391304
214,S02001450,4852,68,71.35294118
215,S02001451,4648,78,59.58974359
216,S02001452,5524,54,102.2962963
217,S02001453,3224,126,25.58730159
218,S02001454,4337,204,21.25980392
219,S02001455,4453,99,44.97979798
220,S02001456,3061,137,22.34306569
221,S02001457,2925,68,43.01470588
222,S02001458,4988,146,34.16438356
223,S02001459,3782,94,40.23404255
224,S02001460,4350,162,26.85185185
225,S02001461,6456,631,10.23137876
226,S02001462,6261,176,35.57386364
227,S02001463,6047,439,13.77448747
228,S02001464,5344,182,29.36263736
229,S02001465,3357,198,16.95454545
230,S02001466,4001,106,37.74528302
231,S02001467,4940,121,40.82644628
232,S02001468,3617,206,17.55825243
233,S02001469,4793,123,38.96747967
234,S02001470,3582,121,29.60330579
235,S02001471,4585,161,28.47826087
236,S02001472,4317,80,53.9625
237,S02001473,5504,122,45.1147541
238,S02001474,5917,205,28.86341463
239,S02001475,3614,1093,3.306495883
240,S02001476,3322,20263,0.163944135
241,S02001477,4123,3691,1.117041452
242,S02001478,5154,14525,0.354836489
243,S02001479,3205,84,38.1547619
244,S02001480,4099,117,35.03418803
245,S02001481,4871,49226,0.098951773
246,S02001482,2860,246,11.62601626
247,S02001483,5072,164,30.92682927
248,S02001484,3967,184,21.55978261
249,S02001485,3819,201,19
250,S02001486,5063,27567,0.183661624
251,S02001487,4238,125,33.904
252,S02001488,2695,64,42.109375
253,S02001489,3770,115,32.7826087
254,S02001490,3053,145,21.05517241
255,S02001491,4670,128,36.484375
256,S02001492,6058,5294,1.144314318
257,S02001493,4583,111,41.28828829
258,S02001494,4338,94,46.14893617
259,S02001495,2981,196,15.20918367
260,S02001496,3282,98,33.48979592
261,S02001497,3039,111,27.37837838
262,S02001498,3802,67,56.74626866
263,S02001499,5832,163,35.7791411
264,S02001500,4547,96,47.36458333
265,S02001501,4523,154,29.37012987
266,S02001502,3648,126,28.95238095
267,S02001503,5584,252,22.15873016
268,S02001504,3736,2524,1.480190174
269,S02001505,2833,81,34.97530864
270,S02001506,2896,1766,1.6398641
271,S02001507,3487,413,8.443099274
272,S02001508,3228,138,23.39130435
273,S02001509,3954,1358,2.911634757
274,S02001510,2941,112,26.25892857
275,S02001511,3518,121,29.07438017
276,S02001512,4149,118,35.16101695
277,S02001513,4196,149,28.16107383
278,S02001514,2724,72,37.83333333
279,S02001515,3612,132,27.36363636
280,S02001516,3252,120,27.1
281,S02001517,2845,88,32.32954545
282,S02001518,2917,1721,1.6949448
283,S02001519,5299,129,41.07751938
284,S02001520,5860,222,26.3963964
285,S02001521,5059,167,30.29341317
286,S02001522,2476,43,57.58139535
287,S02001523,4176,106,39.39622642
288,S02001524,5336,733,7.279672578
289,S02001525,3432,101,33.98019802
290,S02001526,3227,118,27.34745763
291,S02001527,4202,643,6.534992224
292,S02001528,4035,93,43.38709677
293,S02001529,3169,1164,2.722508591
294,S02001530,2842,758,3.749340369
295,S02001531,3409,81,42.08641975
296,S02001532,4055,856,4.737149533
297,S02001533,4730,5928,0.797908232
298,S02001534,5839,1617,3.61100804
299,S02001535,4560,147,31.02040816
300,S02001536,3079,117,26.31623932
301,S02001537,4844,78,62.1025641
302,S02001538,4454,116,38.39655172
303,S02001539,2222,50,44.44
304,S02001540,4957,91,54.47252747
305,S02001541,4183,102,41.00980392
306,S02001542,5967,418,14.27511962
307,S02001543,6314,1342,4.704918033
308,S02001544,5658,698,8.106017192
309,S02001545,2925,2698,1.084136397
310,S02001546,5465,4333,1.261250865
311,S02001547,5633,27545,0.204501724
312,S02001548,4088,138,29.62318841
313,S02001549,4777,142,33.64084507
314,S02001550,4166,4472,0.93157424
315,S02001551,3234,141,22.93617021
316,S02001552,3687,2062,1.788069835
317,S02001553,4894,20848,0.234746738
318,S02001554,4146,612,6.774509804
319,S02001555,4625,155,29.83870968
320,S02001556,6414,4409,1.454751644
321,S02001557,3642,114,31.94736842
322,S02001558,6000,342,17.54385965
323,S02001559,3946,281,14.04270463
324,S02001560,4061,78,52.06410256
325,S02001561,5729,1096,5.227189781
326,S02001562,6250,137,45.62043796
327,S02001563,3659,148,24.72297297
